"X","Y","color"
"0.6594799228692386","0.7048083809220977","[1.0]","[1.0]"
"0.34178194660692607","0.17748627076517665","[1.0]","[0.0]"
"0.3853297998725664","0.2768224480442165","[1.0]","[0.0]"
"0.6147781213441343","0.7289994136957566","[1.0]","[1.0]"
"0.5921129815870202","0.5924808637930938","[1.0]","[1.0]"
"0.32746473023690065","0.28416246496881514","[1.0]","[1.0]"
"0.36833499289554267","0.472820395075663","[1.0]","[0.0]"
"0.5587688152024446","0.45084275792123607","[1.0]","[0.0]"
"0.5675129473044264","0.32185080095739643","[1.0]","[1.0]"
"0.5892135409563076","0.5414246092004344","[1.0]","[1.0]"
"0.12046426881955132","0.40660360501945353","[1.0]","[0.0]"
"0.6922877364896669","0.2407416578211373","[1.0]","[1.0]"
"0.5123282079200626","0.5011489355491767","[1.0]","[1.0]"
"0.8602822878111709","0.5394962195017259","[1.0]","[1.0]"
"0.2116661957237263","0.3864134498539689","[1.0]","[0.0]"
"0.3603146689952905","0.2842859955803246","[1.0]","[0.0]"
"0.4902414303900458","0.6514311944498123","[1.0]","[1.0]"
"0.5666826148527241","0.43503586609853145","[1.0]","[1.0]"
"0.4138572992161664","0.32823236849414533","[1.0]","[0.0]"
"0.5655525670637295","0.4275012718545827","[1.0]","[0.0]"
"0.4000211271986636","0.48598567731785963","[1.0]","[0.0]"
"0.45468716326428305","0.4636615111515178","[1.0]","[0.0]"
"0.6533258391764195","0.6468523296020495","[1.0]","[1.0]"
"0.35439103243023234","0.318722662813331","[1.0]","[0.0]"
"0.12825793176038786","0.5478910073758976","[1.0]","[0.0]"
"0.3398332826813656","0.6269364297198451","[1.0]","[1.0]"
"0.24166543796734","0.49653302666519544","[1.0]","[1.0]"
"0.5048719689336509","0.43466282560744274","[1.0]","[0.0]"
"0.3196841968011179","0.34185599665556066","[1.0]","[0.0]"
"0.5691225137944839","0.6363466398511338","[1.0]","[1.0]"
"0.43079864592344175","0.4574479650492929","[1.0]","[0.0]"
"0.2672627368586515","0.47956865453465","[1.0]","[0.0]"
"0.40650311127718886","0.5795893910651044","[1.0]","[1.0]"
"0.5097819291803564","0.47839986412928753","[1.0]","[1.0]"
"0.6743465625698678","0.5317617542931297","[1.0]","[1.0]"
"0.557836253018573","0.46024065080844573","[1.0]","[1.0]"
"0.5817605816461537","0.4741056708690399","[1.0]","[1.0]"
"0.5868447979072642","0.37935508731210865","[1.0]","[1.0]"
"0.7650483052033099","0.7212566533755818","[1.0]","[1.0]"
"0.349083091307848","0.49193730137332053","[1.0]","[0.0]"
"0.4769379283578912","0.4548652650518129","[1.0]","[1.0]"
"0.21596463530297882","0.4599518400811182","[1.0]","[0.0]"
"0.5413518408483917","0.2068970703495618","[1.0]","[0.0]"
"0.3012093125310925","0.23956418698033394","[1.0]","[0.0]"
"0.6994980301613405","0.7352566673078998","[1.0]","[1.0]"
"0.5450119655749736","0.48331540271073786","[1.0]","[1.0]"
"0.2472146167462781","0.30825332780401893","[1.0]","[0.0]"
"0.2507851634694118","0.8171128493770817","[1.0]","[0.0]"
"0.5571915806030999","0.553037713774156","[1.0]","[1.0]"
"0.5402392410197735","0.5861104802062274","[1.0]","[1.0]"
"0.7630090077816974","0.29560954101184433","[1.0]","[1.0]"
"0.5996304963107304","0.4324295180270629","[1.0]","[1.0]"
"0.6240873630591639","0.8306015864849791","[1.0]","[1.0]"
"0.17045392586057642","0.4335583089831636","[1.0]","[0.0]"
"0.27071197848161166","0.20223850378071043","[1.0]","[0.0]"
"0.27574105742697697","0.42226111018842494","[1.0]","[0.0]"
